	description	author	year	journal	function	class	vtype	ghz	jkp	hxz	hxz_ref	cz	note	sample_start	sample_end
250	Asset liquidity to market assets	Ortiz-Molina and Phillips	2014	JFQA	aliq_mat	funda			aliq_mat	Alm	A.5.46	AssetLiquidityMarket	JKP don't subtract gdwl since it's already included in intangibles. We follow JKP.	1984	2006
251	Asset liquidity to market assets (quarterly)	Ortiz-Molina and Phillips	2014	JFQA						Almq	A.5.47	AssetLiquidityMarketQuart		1984	2006
252	Cash flow-to-debt	Ou and Penman	1989	JAR	cashdebt	funda		cashdebt				cashdebt		1973	1983
253	Change in current ratio	Ou and Penman	1989	JAR	pchcurrat	funda		pchcurrat				pchcurrat		1973	1983
254	Change in quick ratio	Ou and Penman	1989	JAR	pchquick	funda		pchquick				pchquick		1973	1983
255	Change in sales to inventory	Ou and Penman	1989	JAR	pchsaleinv	funda		pchsaleinv				pchsaleinv		1973	1983
256	Current ratio	Ou and Penman	1989	JAR	currat	funda		currat				currat		1973	1983
257	Quick ratio	Ou and Penman	1989	JAR	quick	funda		quick				quick		1973	1983
258	Sales-to-cash	Ou and Penman	1989	JAR	salecash	funda		salecash				salecash		1973	1983
259	Sales-to-inventory	Ou and Penman	1989	JAR	saleinv	funda		saleinv				saleinv		1973	1983
260	Sales-to-receivables	Ou and Penman	1989	JAR	salerec	funda		salerec				salerec		1973	1983
261	Cash-to-assets	Palazzo	2012	JFE	cash_at	funda		cash	cash_at	Cta	A.5.37	Cash		1972	2009
262	Pastor-Stambaugh liquidity beta	Pastor and Stambaugh	2003	JPE						BPS		BetaLiquidityPS		1968	1999
263	Book-to-market enterprise value	"Penman, Richardson, and Tuna"	2007	JAR	bev_mev	funda			bev_mev	Ebp	A.2.28	EBM		1963	2001
264	Book-to-market enterprise value (quarterly)	"Penman, Richardson, and Tuna"	2007	JAR						Ebpq	A.2.29	EBM_q		1963	2001
265	Net debt-to-price	"Penman, Richardson, and Tuna"	2007	JAR	netdebt_me	funda			netdebt_me	Ndp	A.2.28	NetDebtPrice		1963	2001
266	Net debt-to-price (quarterly)	"Penman, Richardson, and Tuna"	2007	JAR						Ndpq	A.2.29	NetDebtPrice_q		1963	2001
267	"Piotroski F-score (GHZ, Org)"	Piotroski	2000	AR	ps	funda		ps				PS	GHZ version: closer to the original definition	1976	1996
268	Piotroski F-score (JKP)	Piotroski	2000	AR	f_score	funda			f_score	F	A.4.21		JKP version: follow HXZ but there are minor differences (mistakes). See the comments in the code.	1976	1996
269	Piotroski F-score (quarterly)	Piotroski	2000	AR						Fq	A.4.22	PS_q		1976	1996
270	Net stock issues (GHZ)	Pontiff and Woodgate	2008	JF	chcsho	funda		chcsho		Nsi	A.3.10		GHZ version: use funda. HXZ also use funda.	1970	2003
271	"Net stock issues (JKP, Org)"	Pontiff and Woodgate	2008	JF	chcsho_12m	crspm			chcsho_12m			ShareIss1Y	JKP version: use crspm.	1970	2003
272	Order backlog	"Rajgopal, Shevlin, and Venkatachalam"	2003	RAS						Ob		OrderBacklog		1981	1999
273	Unexpected quarterly earnings 	"Rendelman, Jones, and Latane"	1982	JFE				sue							
274	Chage in common equity	Richardson et al.	2005	JAE	be_gr1a	funda		egr	be_gr1a	dBe	A.3.20	DelEqu	GHZ use ceq_t-1 as denominator instead of avg(asset). JKP use their definition of book equity instead of ceq. We follow JKP but use avg(at) rather than at.	1962	2001
275	Chagne in long-term investments 	Richardson et al.	2005	JAE	lti_gr1a	funda			lti_gr1a	dLti	A.3.20	DelLTI	There are too many missing values and not enough unique values to make decile portfolios.	1962	2001
276	Change in current Ooperating liabilities	Richardson et al.	2005	JAE	col_gr1a	funda			col_gr1a	dCol	A.3.18	DelCOL		1962	2001
277	Change in current operating assets	Richardson et al.	2005	JAE	coa_gr1a	funda			coa_gr1a	dCoa	A.3.18	DelCOA		1962	2001
278	Change in financial liabilities	Richardson et al.	2005	JAE	fnl_gr1a	funda			fnl_gr1a	dFnl	A.3.20	DelFINL	JKP use pstkrv instead of pstk and 'at' at t. we use average 'at' over t and t-1.	1962	2001
279	Change in long-term debt	Richardson et al.	2005	JAE	lgr	funda		lgr					"GHZ version: diff(lt)/lt. The original definition seems to be diff(lt)/at, but we keep the GHZ's implementation."	1962	2001
280	Change in net financial assets	Richardson et al.	2005	JAE	nfna_gr1a	funda			nfna_gr1a	dFin	A.3.20	DelNetFin		1962	2001
281	Change in net non-cash working capital	Richardson et al.	2005	JAE	cowc_gr1a	funda			cowc_gr1a	dWc	A.3.18			1962	2001
282	Change in net non-current operating assets	Richardson et al.	2005	JAE	nncoa_gr1a	funda			nncoa_gr1a	dNco	A.3.19		"HXZ divide by at at t-1, while JKP use at at t. We follow JKP."	1962	2001
283	Change in non-current operating assets	Richardson et al.	2005	JAE	ncoa_gr1a	funda			ncoa_gr1a	dNca	A.3.19		"HXZ divide by at at t-1, while JKP use at at t. We follow JKP."	1962	2001
284	Change in non-current operating liabilities	Richardson et al.	2005	JAE	ncol_gr1a	funda			ncol_gr1a	dNcl	A.3.19		"HXZ divide by at at t-1, while JKP use at at t. We follow JKP."	1962	2001
285	Change in short-term investments	Richardson et al.	2005	JAE	sti_gr1a	funda			sti_gr1a	dSti	A.3.20	DelSTI		1962	2001
286	Total accruals	Richardson et al.	2005	JAE	taccruals_at	funda			taccruals_at	Ta	A.3.17	TotalAccruals		1962	2001
287	"Book to market (December ME, quarterly)"	"Rosenberg, Reid, and Lanstein"	1985	JF						Bmq	A.2.3	BMq		1973	1984
288	Book-to-market (December ME)	"Rosenberg, Reid, and Lanstein"	1985	JF	be_me	funda		bm	be_me	Bm	A.2.1	BM	We follow JKP's implementation.	1973	1984
289	Change in analyst coverage	Scherbina	2008	ROF				chnanalyst				ChNAnalyst		1982	2005
290	"Operating accruals (GHZ, Org)"	Sloan	1996	AR	acc	funda		acc		Oa	A.3.16	Accruals	GHZ version: original definition.	1962	1991
291	Operating accruals (JKP)	Sloan	1996	AR	oaccruals_at	funda			oaccruals_at				"JKP version: numerator is a bit differernt from the original definition. JKP use at in the denominator, but Sloan uses two-year average. We follow Sloan."	1962	1991
292	Asset turnover	Soliman	2008	AR	sale_bev	funda			sale_bev	Ato	A.4.5	AssetTurnover		1984	2002
293	Asset turnover (quarterly)	Soliman	2008	AR						Atoq	A.4.7	AssetTurnover_q		1984	2002
294	Change in asset turnover	Soliman	2008	AR	chatoia	funda		chatoia				ChAssetTurnover	GHZ adjust for indusry but the original paper doesn't. we follow the original definition.	1984	2002
295	Change in profit margin	Soliman	2008	AR	chpmia	funda		chpmia				ChPM	GHZ adjust for indusry but the original paper doesn't. we follow the original definition.	1984	2002
296	Profit margin	Soliman	2008	AR	ebit_sale	funda			ebit_sale	Pm	A.4.5	PM		1984	2002
